,citation_id,patent_id
0,5541019,7022434
1,5541019,5688613
2,5541019,5693434
3,5541019,5768090
4,5541019,5807412
5,5541019,5986876
6,5541019,6124060
7,5541019,6181546
8,5541019,6291106
9,5541019,7297444
10,5541019,8859141
11,5541019,6849702
12,5541019,8722221
13,5541019,8088270
14,5541019,7820330
15,5541019,8012621
16,5541019,8771855
17,5541019,8771879
18,5541019,8216722
19,5541019,8323817
20,5541019,7326499
21,5573869,7912515
22,5573869,8213998
23,5573869,5818200
24,5573869,5867008
25,5573869,5872443
26,5573869,5952815
27,5573869,6046514
28,5573869,6087036
29,5573869,6099986
30,5573869,6100702
31,5573869,6104967
32,5573869,6117584
33,5573869,6120930
34,5573869,6235425
35,5573869,6492058
36,5573869,7397218
37,5573869,6517591
38,5573869,6548206
39,5573869,6569559
40,5573869,6641942
41,5573869,6641947
42,5573869,6664000
43,5573869,6797018
44,5573869,7534523
45,5573869,7092746
46,5573869,7648796
47,5573869,8700104
48,5604415,5691622
49,5604415,5695886
50,5604415,5909103
51,5604415,6181102
52,5604415,6249105
53,5604415,7068012
54,5604415,8305725
55,5604660,5723231
56,5604660,5729427
57,5604660,5847920
58,5604660,5986878
59,5604660,6493209
60,5604660,7446998
61,5604660,7312976
62,5604660,6881515
63,5604660,8472163
64,5604660,7443650
65,5604660,7919014
66,5604660,7799099
67,5604660,7794511
68,5623225,6256395
69,5626729,7927736
70,5626729,5729427
71,5626729,6134099
72,5626729,6181547
73,5626729,6310765
74,5626729,6356433
75,5626729,6361572
76,5626729,6396682
77,5626729,6413282
78,5626729,6454815
79,5626729,6576365
80,5626729,6590762
81,5626729,6594140
82,5626729,6751087
83,5626729,6790556
84,5626729,7410725
85,5626729,7035084
86,5626729,8232006
87,5626729,7687198
88,5631101,7912515
89,5631101,8213998
90,5631101,5770330
91,5631101,5786106
92,5631101,D406098
93,5631101,5862392
94,5631101,5867008
95,5631101,6004690
96,5631101,6225778
97,5631101,6291972
98,5631101,6387566
99,5631101,6424117
100,5631101,7217003
101,5631101,6462780
102,5631101,7397218
103,5631101,6641947
104,5631101,D494924
105,5631101,6774603
106,5631101,7186001
107,5631101,7141330
108,5631101,6926994
109,5631101,7147344
110,5631101,6844109
111,5631101,7092746
112,5631101,7088075
113,5631101,8700104
114,5631101,6838209
115,5631101,8227110
116,5631538,6194870
117,5631538,6265849
118,5631538,6344730
119,5631538,7705565
120,5640166,6006067
121,5640166,6008758
122,5640166,8284749
123,5640166,8593339
124,5640166,6381225
125,5640166,8675711
126,5640166,7327698
127,5640166,8559895
128,5640166,8503328
129,5640166,8275080
130,5640166,7558576
131,5640166,8498569
132,5640166,8494443
133,5640166,8670707
134,5640166,8594153
135,5640166,8548107
136,5640166,8355675
137,5640166,6965753
138,5640166,8391780
139,5644743,8107580
140,5644743,6636120
141,5644743,8565008
142,5644743,8201012
143,5644743,7954031
144,5644743,7084709
145,5644743,7415404
146,5644743,7461286
147,5644743,7602876
148,5644743,7571359
149,5644743,8433023
150,5644743,7373575
151,5644743,7889593
152,5644743,7180377
153,5644743,7418071
154,5644743,8873606
155,5644743,7657813
156,5656917,7557537
157,5656917,8120268
158,5656917,7868590
159,5656917,8779683
160,5656917,5850134
161,5656917,5861729
162,5656917,5861730
163,5656917,5861812
164,5656917,7075579
165,5656917,5912544
166,5656917,6020082
167,5656917,6031353
168,5656917,6194866
169,5656917,7952322
170,5656917,6370489
171,5656917,6400123
172,5656917,6404164
173,5656917,7145603
174,5656917,7923970
175,5656917,6531873
176,5656917,6625477
177,5656917,8901881
178,5656917,8299749
179,5656917,8629652
180,5656917,8610397
181,5656917,8629654
182,5656917,8169185
183,5656917,7948208
184,5656917,8860420
185,5656917,8169189
186,5656917,7609027
187,5656917,8120328
188,5656917,8018198
189,5656917,8525479
190,5656917,7741809
191,5656917,8823321
192,5656917,8203307
193,5656917,8890470
194,5656917,7560902
195,5656917,8896264
196,5656917,7471063
197,5656917,8820626
198,5656917,8829911
199,5656917,8029187
200,5656917,7835534
201,5656917,8604752
202,5656917,6982541
203,5656917,6930484
204,5661635,6976111
205,5661635,7605944
206,5661635,8793575
207,5661635,8113842
208,5661635,7343439
209,5661635,5805157
