,citation_id,patent_id
0,5781861,8478190
1,6088335,8478190
2,7711385,8478190
3,6704372,7023871
4,6804251,7023871
5,6397061,7231223
6,6477150,7231223
7,6714795,7231223
8,6725053,7231223
9,6882856,7231223
10,6898436,7231223
11,6912401,7231223
12,6930994,7231223
13,6970926,7231223
14,5737495,8312131
15,5802299,8312131
16,6233736,8312131
17,6243756,8312131
18,6314466,8312131
19,6633918,8312131
20,6665659,8312131
21,6769032,8312131
22,6871236,8312131
23,6941560,8312131
24,6993559,8312131
25,7032003,8312131
26,7039857,8312131
27,7082470,8312131
28,7222088,8312131
29,7284065,8312131
30,7404186,8312131
31,7627652,8312131
32,7685252,8312131
33,7752335,8312131
34,7779355,8312131
35,7860825,8312131
36,7899935,8312131
37,8046838,8312131
38,8073881,8312131
39,8171099,8312131
40,8200837,8312131
41,5430657,7336224
42,5448773,7336224
43,5528248,7336224
44,5731786,7336224
45,5764184,7336224
46,5786773,7336224
47,5841396,7336224
48,5874914,7336224
49,5999125,7336224
50,6007372,7336224
51,6016117,7336224
52,6057800,7336224
53,6058338,7336224
54,6064336,7336224
55,6112054,7336224
56,6118977,7336224
57,6134483,7336224
58,6208290,7336224
59,6211817,7336224
60,6211819,7336224
61,6225945,7336224
62,6229478,7336224
63,6275185,7336224
64,6313787,7336224
65,6373429,7336224
66,6385534,7336224
67,6392593,7336224
68,6400314,7336224
69,6421002,7336224
70,6424890,7336224
71,6437735,7336224
72,6438382,7336224
73,6567712,7336224
74,6651000,7336224
75,6657587,7336224
76,5452471,7277394
77,5652751,7277394
78,5848359,7277394
79,5883884,7277394
80,6108311,7277394
81,6304556,7277394
82,6947405,7277394
83,6980524,7277394
84,6370672,8379622
85,5897619,8391895
86,6240360,8391895
87,6243030,8391895
88,6243039,8391895
89,6604049,8391895
90,6629136,8391895
91,7844729,8391895
92,8125332,8391895
93,6151634,7941181
94,6609097,7941181
95,5337353,7769353
96,5541609,7769353
97,5559504,7769353
98,5565658,7769353
99,5861875,7769353
100,6222528,7769353
101,6442013,7769353
102,6546101,7769353
103,6397367,8619889
104,7660367,8619889
105,7852814,8619889
106,8170571,8619889
107,6067460,7136680
108,6363267,7136680
109,6671660,7136680
110,6064431,7710481
111,6320617,7710481
112,6879340,7710481
113,4160279,7095439
114,4493093,7095439
115,4496980,7095439
116,5012344,7095439
117,5412587,7095439
118,5461425,7095439
119,5801657,7095439
120,6310571,7095439
121,6380880,7095439
122,6452152,7095439
123,6525304,7095439
124,6541751,7095439
125,6272190,7673063
126,6442694,7673063
127,6658073,7673063
128,6674755,7673063
129,6820133,7673063
130,6904059,7673063
131,7266609,7673063
132,7483487,7673063
133,7548995,7673063
134,7577714,7673063
135,6105064,8874634
136,6646987,8874634
137,7046631,8874634
138,8077775,8874634
139,5708689,8872970
140,5920572,8872970
141,6154468,8872970
142,6298387,8872970
143,6625240,8872970
144,6804266,8872970
145,6816560,8872970
146,7139289,8872970
147,7539258,8872970
148,5963361,7369777
149,6654561,7369777
150,6724526,7369777
151,6728026,7369777
152,6778321,7369777
153,6310609,6853368
154,6381468,6853368
155,5287555,8140102
156,6594251,8140102
157,6788950,8140102
158,7028311,8379655
159,7336778,8379655
160,7680481,8379655
161,7912963,8379655
162,6408174,8478231
163,6496690,8478231
164,6654599,8478231
165,6741687,8478231
166,7043229,8478231
167,7239862,8478231
168,7599887,8478231
169,8395587,8717326
170,5158468,6935901
171,5259769,6935901
172,5540599,6935901
173,5584713,6935901
174,5716230,6935901
175,6241537,6935901
176,6283777,6935901
177,6315576,6935901
178,4109111,6944137
179,4360910,6944137
180,4635252,6944137
181,5034947,6944137
182,5317567,6944137
183,5383184,6944137
184,5434856,6944137
185,5436896,6944137
186,5463617,6944137
187,5506837,6944137
188,5881368,6944137
189,5912882,6944137
190,5914958,6944137
191,5924041,6944137
192,5983099,6944137
193,6005848,6944137
194,6026295,6944137
195,6308079,6944137
196,6333921,6944137
197,7184579,8255698
198,7319987,8255698
199,5914933,6999467
200,6108317,6999467
201,6747948,6999467
202,6762723,7176838
203,6917335,7176838
204,7095372,7176838
205,7095382,7176838
206,3786582,7145558
207,4973149,7145558
208,5796382,7145558
209,5881377,7145558
210,5900873,7145558
211,5994713,7145558
212,6035180,7145558
213,6140987,7145558
214,6175353,7145558
215,6219021,7145558
216,6269565,7145558
217,6378977,7145558
218,6400099,7145558
219,6448951,7145558
220,6690268,7145558
221,6696931,7145558
222,6791643,7145558
223,6862012,7145558
224,6999052,7145558
225,5920545,7602714
226,6131049,7602714
227,6278701,7602714
228,RE37669,7602714
229,6389066,7602714
230,6526028,7602714
231,6628639,7602714
232,6714511,7602714
233,6744814,7602714
234,6757265,7602714
235,6968212,7602714
236,7355997,7602714
237,6275536,6931059
238,6351471,6931059
239,5706211,7076528
240,5745689,7076528
241,5819284,7076528
242,5838252,7076528
243,5956521,7076528
244,5978837,7076528
245,5995597,7076528
246,6018762,7076528
247,6023700,7076528
248,6052563,7076528
249,6138146,7076528
250,6219694,7076528
251,6701378,7076528
252,6779022,7076528
253,6792085,7076528
254,4076262,8462126
255,5128671,8462126
256,5494447,8462126
257,5543588,8462126
258,5610971,8462126
259,5729219,8462126
260,5896575,8462126
261,5898600,8462126
262,5959260,8462126
263,6020878,8462126
264,6201554,8462126
265,6233138,8462126
266,6392870,8462126
267,6457547,8462126
268,6466198,8462126
269,6532147,8462126
270,6549789,8462126
271,6597347,8462126
272,6927747,8462126
273,7058433,8462126
274,7075513,8462126
275,7205959,8462126
276,7218313,8462126
277,5909183,8904172
278,6084512,8904172
279,6199136,8904172
280,6591364,8904172
281,6826607,8904172
282,6983370,8904172
283,6995655,8904172
284,7020121,8904172
285,7092670,8904172
286,7430758,8904172
287,7511762,8904172
288,7613426,8904172
289,7741852,8904172
290,7912076,8904172
291,8001381,8904172
292,8001584,8904172
293,8014355,8904172
294,8185049,8904172
295,8189627,8904172
296,8239551,8904172
297,8276209,8904172
298,7155243,8537665
