,app_number,patent_number,blocked_app
199,"09/507,639",6493198,11720225
200,"09/507,639",6493198,11720225
201,"09/507,639",6493198,12303465
202,"09/507,639",6493198,11720225
203,"09/078,458",6157545,13079426
204,"10/403,711",6936361,12498742
205,"11/872,179",7764644,12100339
206,"10/660,937",7519042,11093323
207,"10/660,937",7519042,11093323
208,"10/660,937",7519042,11093323
209,"10/660,937",7519042,11093323
210,"09/392,162",6319631,12685463
211,"09/649,699",6525677,12186605
212,"09/649,699",6525677,12186605
213,"09/665,095",6829475,11929744
214,"09/001,248",6175588,12162818
215,"09/001,248",6175588,12162818
216,"09/001,248",6175588,12162818
217,"09/001,248",6175588,12162818
218,"09/001,248",6175588,12350279
219,"09/001,248",6175588,11856678
220,"09/001,248",6175588,11856678
221,"09/001,248",6175588,11856678
222,"09/001,248",6175588,11856678
223,"09/001,248",6175588,11962040
224,"09/001,248",6175588,11962040
225,"09/001,248",6175588,11962040
226,"09/001,248",6175588,11962040
227,"09/001,248",6175588,11848664
228,"09/001,248",6175588,11848664
229,"09/001,248",6175588,12162818
230,"09/001,248",6175588,12162818
231,"09/001,248",6175588,12955722
232,"09/001,248",6175588,11640994
233,"09/001,248",6175588,11640994
234,"09/001,248",6175588,11848664
235,"08/580,916",6018671,12081141
236,"08/580,916",6018671,11558155
237,"08/580,916",6018671,12081141
238,"08/781,252",5805095,11819939
239,"09/759,846",6987738,13302525
240,"09/667,028",6697637,12678885
241,"08/566,617",5732387,12044713
242,"08/566,617",5732387,12044713
243,"08/566,617",5732387,12044713
244,"08/566,617",5732387,12044713
245,"08/566,617",5732387,12044713
246,"08/566,617",5732387,12044713
247,"08/566,617",5732387,12044713
248,"09/703,046",6662010,13042824
249,"09/703,046",6662010,13042824
250,"10/235,895",6757337,12043348
251,"10/235,895",6757337,12043348
252,"10/744,721",7373013,11863393
253,"10/159,994",6944455,11750045
254,"10/159,994",6944455,11750045
255,"09/993,108",6756938,12034012
256,"09/993,108",6756938,12034012
257,"09/993,108",6756938,12034012
258,"09/993,108",6756938,12034012
259,"09/993,108",6756938,12034012
260,"09/993,108",6756938,12034012
261,"09/655,996",6671852,12852368
262,"09/655,996",6671852,12852397
263,"10/431,740",6822611,12738764
264,"90/010,282",5958006,9782412
265,"90/010,282",5958006,9782412
266,"90/010,282",5958006,9782412
267,"90/010,282",5958006,9782107
268,"90/010,282",5958006,9782107
269,"90/010,282",5958006,9782107
270,"90/010,282",5958006,11925770
271,"90/010,282",5958006,13043903
272,"90/010,282",5958006,13043903
273,"90/010,282",5958006,13043903
274,"90/010,282",5958006,13020322
275,"90/010,282",5958006,9782412
276,"90/010,282",5958006,9782412
277,"90/010,282",5958006,9782412
278,"90/010,282",5958006,9782412
279,"90/010,282",5958006,9782412
280,"90/010,282",5958006,9782412
281,"90/010,282",5958006,13043903
282,"90/010,282",5958006,13043903
283,"90/010,282",5958006,13043903
284,"90/010,282",5958006,13043903
285,"90/010,282",5958006,13359586
286,"90/010,282",5958006,13359586
287,"90/010,282",5958006,13359586
288,"90/010,282",5958006,13359586
289,"90/010,282",5958006,13346759
290,"90/010,282",5958006,13359586
291,"90/010,282",5958006,13359586
292,"90/010,282",5958006,13359586
293,"90/010,282",5958006,13359586
294,"90/010,282",5958006,13346759
295,"90/010,282",5958006,13359586
296,"90/010,282",5958006,13359586
297,"90/010,282",5958006,13359586
298,"90/010,282",5958006,13359586
299,"08/574,541",5958006,9782412
300,"08/574,541",5958006,9782412
301,"08/574,541",5958006,9782412
302,"08/574,541",5958006,9782107
303,"08/574,541",5958006,9782107
304,"08/574,541",5958006,9782107
305,"08/574,541",5958006,11925770
306,"08/574,541",5958006,13043903
307,"08/574,541",5958006,13043903
308,"08/574,541",5958006,13043903
309,"08/574,541",5958006,13020322
310,"08/574,541",5958006,9782412
311,"08/574,541",5958006,9782412
312,"08/574,541",5958006,9782412
313,"08/574,541",5958006,9782412
314,"08/574,541",5958006,9782412
315,"08/574,541",5958006,9782412
316,"08/574,541",5958006,13043903
317,"08/574,541",5958006,13043903
318,"08/574,541",5958006,13043903
319,"08/574,541",5958006,13043903
320,"08/574,541",5958006,13359586
321,"08/574,541",5958006,13359586
322,"08/574,541",5958006,13359586
323,"08/574,541",5958006,13359586
324,"08/574,541",5958006,13346759
325,"08/574,541",5958006,13359586
326,"08/574,541",5958006,13359586
327,"08/574,541",5958006,13359586
328,"08/574,541",5958006,13359586
329,"08/574,541",5958006,13346759
330,"08/574,541",5958006,13359586
331,"08/574,541",5958006,13359586
332,"08/574,541",5958006,13359586
333,"08/574,541",5958006,13359586
334,"09/727,730",6617075,11338709
335,"10/928,235",7138979,11825993
336,"10/928,235",7138979,11825993
337,"10/928,235",7138979,11825993
338,"09/648,776",6564047,12163631
339,"09/648,776",6564047,11686342
340,"10/427,120",7013143,11118063
341,"10/427,120",7013143,11118063
342,"10/427,120",7013143,11118063
343,"10/427,120",7013143,11118063
344,"10/427,120",7013143,10941266
345,"10/427,120",7013143,11176579
346,"10/427,120",7013143,11176579
347,"10/427,120",7013143,10941266
348,"10/427,120",7013143,13527279
349,"09/089,035",5987021,11870181
350,"09/638,944",6532593,11250086
351,"09/638,944",6532593,11898996
352,"09/638,944",6532593,11250086
353,"09/638,944",6532593,11060224
354,"09/638,944",6532593,12951536
355,"09/638,944",6532593,12850121
356,"11/119,852",8018893,12951149
357,"11/119,852",8018893,12951149
358,"11/119,852",8018893,13003618
359,"11/119,852",8018893,12739713
360,"11/119,852",8018893,12429340
361,"09/001,625",6138042,12183156
362,"09/001,625",6138042,12183156
363,"09/001,625",6138042,12183156
364,"11/674,998",7778653,13162318
365,"08/625,499",6219840,10881979
366,"09/728,144",6484033,11930362
367,"09/728,144",6484033,12142207
368,"09/728,144",6484033,12142207
369,"10/372,919",7209717,12477862
370,"10/372,919",7209717,12477862
371,"12/207,773",7944484,12381422
372,"12/207,773",7944484,12322822
373,"09/549,004",6882709,11853591
374,"09/549,004",6882709,10974497
375,"09/549,004",6882709,11698372
376,"09/549,004",6882709,11698372
377,"09/549,004",6882709,11698372
378,"09/549,004",6882709,11698372
379,"09/549,004",6882709,11698372
380,"09/549,004",6882709,11586482
381,"09/549,004",6882709,11586482
382,"09/549,004",6882709,11780760
383,"09/549,004",6882709,11853591
384,"09/549,004",6882709,11780788
385,"09/549,004",6882709,11853591
386,"09/549,004",6882709,11651092
387,"09/549,004",6882709,11780748
388,"09/549,004",6882709,11780748
389,"09/549,004",6882709,10974497
390,"09/549,004",6882709,12844165
391,"09/549,004",6882709,12844165
392,"09/549,004",6882709,12844165
393,"09/549,004",6882709,12844165
394,"09/549,004",6882709,12844165
395,"09/549,004",6882709,12844165
396,"09/549,004",6882709,12844165
397,"09/549,004",6882709,12844165
398,"09/549,004",6882709,12844165
399,"09/549,004",6882709,12844165
400,"09/549,004",6882709,11651092
401,"09/549,004",6882709,12844165
402,"09/549,004",6882709,12844165
403,"09/549,004",6882709,12844165
404,"09/549,004",6882709,12844165
405,"09/549,004",6882709,12844165
406,"09/549,004",6882709,12844165
407,"09/549,004",6882709,12844165
408,"09/549,004",6882709,12190406
409,"09/549,004",6882709,12190406
410,"09/549,004",6882709,12190406
411,"09/549,004",6882709,12190406
412,"09/549,004",6882709,12190406
413,"09/549,004",6882709,12190406
414,"09/549,004",6882709,12190406
415,"09/549,004",6882709,12830585
416,"09/549,004",6882709,12830585
417,"09/549,004",6882709,12830585
418,"09/549,004",6882709,12844165
419,"09/549,004",6882709,12844165
420,"09/549,004",6882709,12844165
421,"09/549,004",6882709,12844165
422,"09/549,004",6882709,12830585
423,"09/549,004",6882709,12830585
424,"09/549,004",6882709,12830585
425,"09/512,140",6307846,11050357
426,"09/512,140",6307846,11856788
427,"09/512,140",6307846,11765994
428,"09/512,140",6307846,11765994
429,"09/512,140",6307846,12197428
430,"09/512,140",6307846,11050357
431,"09/512,140",6307846,11681156
432,"09/512,140",6307846,11050357
433,"09/512,140",6307846,11050357
434,"09/512,140",6307846,13051659
435,"09/512,140",6307846,11681156
436,"09/512,140",6307846,13051659
437,"09/512,140",6307846,11050357
438,"09/512,140",6307846,11050357
439,"09/512,140",6307846,11050357
440,"08/572,837",5656917,13357137
441,"10/383,599",6876543,12360750
442,"10/383,599",6876543,12360750
443,"08/944,118",5991447,12087488
444,"08/944,118",5991447,10588404
445,"08/944,118",5991447,10588404
446,"10/002,047",7042879,12030284
447,"09/494,444",6968158,11957595
448,"10/195,858",7108914,12044654
449,"10/195,858",7108914,12595905
450,"08/904,990",6044158,11459193
451,"08/941,383",6223035,12159377
452,"10/606,423",7567239,12061368
453,"10/172,035",6791995,11586383
454,"10/172,035",6791995,11586383
455,"10/172,035",6791995,12499450
456,"10/131,414",7020198,11959937
457,"08/572,413",5661635,13304554
458,"08/572,413",5661635,13304554
459,"08/581,010",5966671,11519049
460,"09/495,162",6321073,11131147
461,"09/495,162",6321073,11862330
462,"09/495,162",6321073,11862330
463,"09/495,162",6321073,11131147
464,"09/495,162",6321073,11131147
465,"09/495,162",6321073,11376502
466,"09/495,162",6321073,11376502
467,"09/495,162",6321073,11131147
468,"09/495,162",6321073,11131147
469,"09/495,162",6321073,11376502
470,"09/495,162",6321073,11376502
471,"09/495,162",6321073,11376502
472,"09/495,162",6321073,11376502
473,"09/495,162",6321073,11376502
474,"09/495,162",6321073,11373612
475,"09/495,162",6321073,11862330
476,"10/314,650",7095403,12391564
477,"09/818,767",6901122,13001194
478,"09/818,767",6901122,13001598
479,"09/818,767",6901122,13001269
480,"08/609,257",5781547,11929580
481,"08/609,257",5781547,11929580
482,"08/609,257",5781547,11929580
483,"11/531,122",7461106,12196414
484,"11/531,122",7461106,12047632
485,"11/531,122",7461106,12047632
486,"11/531,122",7461106,12047632
487,"11/531,122",7461106,12047632
488,"11/531,122",7461106,12047632
489,"10/035,039",7126996,12346387
490,"10/035,039",7126996,12346387
491,"10/035,039",7126996,11963265
492,"10/035,039",7126996,11963265
493,"10/035,039",7126996,12167450
494,"10/035,039",7126996,12167450
495,"10/035,039",7126996,12167450
496,"10/035,039",7126996,12167450
497,"10/035,039",7126996,12167450
498,"10/035,039",7126996,12167450
499,"10/035,039",7126996,13555780
500,"10/035,039",7126996,12167450
501,"10/035,039",7126996,12167450
502,"10/035,039",7126996,12167450
503,"10/035,039",7126996,13555773
504,"10/035,039",7126996,13555758
505,"10/035,039",7126996,12528419
506,"10/035,039",7126996,13555743
507,"10/035,039",7126996,13371162
508,"10/035,039",7126996,14175564
509,"09/088,786",6108046,11932978
510,"09/088,786",6108046,11932978
511,"09/088,786",6108046,11932978
512,"09/088,786",6108046,11646219
513,"09/088,786",6108046,11646219
514,"09/088,786",6108046,11646219
515,"09/088,786",6108046,11646219
516,"09/560,977",6658272,12856275
517,"09/560,977",6658272,12856275
518,"09/560,977",6658272,12019291
519,"09/560,977",6658272,12019291
520,"09/560,977",6658272,10294286
521,"09/560,977",6658272,10294286
522,"09/560,977",6658272,10813280
523,"09/560,977",6658272,12856275
524,"09/560,977",6658272,12856275
525,"09/560,977",6658272,12856275
526,"09/560,977",6658272,12856275
527,"09/560,977",6658272,12941924
528,"09/560,977",6658272,12856275
529,"09/560,977",6658272,12856275
530,"09/667,354",6421607,11933149
531,"09/667,354",6421607,11933149
532,"10/370,397",6795768,12164916
533,"10/370,397",6795768,12164916
534,"10/370,397",6795768,12164916
535,"08/815,500",5966656,12901876
536,"08/815,500",5966656,12901876
537,"08/815,500",5966656,12901876
538,"08/382,338",6009325,13551726
539,"08/382,338",6009325,13337357
540,"11/027,626",7310375,12951732
541,"11/027,626",7310375,12951732
542,"08/895,932",5995840,11423931
543,"10/334,161",7282891,12839797
544,"09/215,527",6128287,11549931
545,"09/215,527",6128287,11549931
546,"11/283,075",7697480,11282331
547,"11/283,075",7697480,11282331
548,"11/283,075",7697480,12068740
549,"09/667,847",6609004,11728195
550,"09/667,847",6609004,11728195
551,"10/807,549",7242923,11877956
552,"10/807,549",7242923,11653408
553,"09/629,321",7239896,12573264
554,"09/629,321",7239896,12573264
555,"09/629,321",7239896,12587227
556,"09/629,321",7239896,12587227
557,"09/629,321",7239896,13558531
558,"11/286,944",7586990,12096220
559,"11/286,944",7586990,12399769
560,"10/423,243",7640373,12352486
561,"10/423,243",7640373,12352486
562,"10/423,243",7640373,12352486
563,"10/423,243",7640373,12125253
564,"10/423,243",7640373,12352486
565,"08/719,189",5754953,11696713
566,"11/281,019",7266198,13041303
567,"11/281,019",7266198,12911406
568,"11/281,019",7266198,13336411
569,"11/281,019",7266198,13041303
570,"11/281,019",7266198,12911406
571,"11/429,681",7676583,12383176
572,"09/618,376",6404764,12197858
573,"08/791,695",5893036,12900847
574,"09/717,761",6961427,12818062
575,"08/922,055",6049707,11343751
576,"08/922,055",6049707,13451839
577,"08/922,055",6049707,13451839
578,"11/531,746",7821996,12500369
579,"09/096,861",6170005,11419240
580,"09/096,861",6170005,11947489
581,"09/096,861",6170005,11947489
582,"09/096,861",6170005,11666278
583,"08/687,882",5818887,12717645
584,"11/301,301",7558587,12197729
585,"11/301,301",7558587,12197729
586,"09/369,624",6151362,11677335
587,"09/369,624",6151362,11677335
588,"10/000,289",6865384,10289896
589,"10/000,289",6865384,10289896
590,"11/305,780",7331793,13432443
591,"10/334,095",7085576,12190952
592,"10/334,095",7085576,12190952
593,"10/334,095",7085576,12196650
594,"10/334,095",7085576,12196650
595,"10/377,464",7653383,11609760
596,"10/377,464",7653383,11609760
597,"10/377,464",7653383,11609760
